id,name,category,price,rating,stock,brand,description
151,Dell Electronics Product 151,Electronics,39.6,3.7,26,Dell,"High-quality electronics product from Dell, perfect for everyday use."
152,Patanjali Health & Wellness Product 152,Health & Wellness,226.38,1.3,94,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
153,Britannia Groceries Product 153,Groceries,935.28,1.6,96,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
154,Samsung Electronics Product 154,Electronics,1330.15,3.4,25,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
155,Mattel Toys & Games Product 155,Toys & Games,322.1,4.0,67,Mattel,"High-quality toys & games product from Mattel, perfect for everyday use."
156,Levi's Fashion Product 156,Fashion,1090.17,2.7,5,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
157,Apple Electronics Product 157,Electronics,1290.52,1.3,81,Apple,"High-quality electronics product from Apple, perfect for everyday use."
158,Reebok Sports & Outdoors Product 158,Sports & Outdoors,1289.86,4.0,89,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
159,Horlicks Health & Wellness Product 159,Health & Wellness,1278.51,3.2,98,Horlicks,"High-quality health & wellness product from Horlicks, perfect for everyday use."
160,Bosch Automotive Product 160,Automotive,826.75,2.8,86,Bosch,"High-quality automotive product from Bosch, perfect for everyday use."
161,Reebok Sports & Outdoors Product 161,Sports & Outdoors,168.22,3.2,17,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
162,Simon & Schuster Books Product 162,Books,945.55,3.3,46,Simon & Schuster,"High-quality books product from Simon & Schuster, perfect for everyday use."
163,Bosch Automotive Product 163,Automotive,244.87,1.8,70,Bosch,"High-quality automotive product from Bosch, perfect for everyday use."
164,Patanjali Health & Wellness Product 164,Health & Wellness,682.92,4.7,62,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
165,Samsung Electronics Product 165,Electronics,417.79,3.8,82,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
166,Sony Electronics Product 166,Electronics,89.12,1.6,61,Sony,"High-quality electronics product from Sony, perfect for everyday use."
167,Horlicks Health & Wellness Product 167,Health & Wellness,1356.82,1.8,21,Horlicks,"High-quality health & wellness product from Horlicks, perfect for everyday use."
168,Bajaj Home & Kitchen Product 168,Home & Kitchen,982.27,1.1,95,Bajaj,"High-quality home & kitchen product from Bajaj, perfect for everyday use."
169,Spalding Sports & Outdoors Product 169,Sports & Outdoors,391.6,3.2,10,Spalding,"High-quality sports & outdoors product from Spalding, perfect for everyday use."
170,Britannia Groceries Product 170,Groceries,1255.88,4.5,97,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
171,Reebok Sports & Outdoors Product 171,Sports & Outdoors,753.16,2.7,11,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
172,Fisher-Price Toys & Games Product 172,Toys & Games,1179.39,2.4,95,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
173,Castrol Automotive Product 173,Automotive,291.11,3.2,28,Castrol,"High-quality automotive product from Castrol, perfect for everyday use."
174,Macmillan Books Product 174,Books,1188.22,1.8,92,Macmillan,"High-quality books product from Macmillan, perfect for everyday use."
175,Usha Home & Kitchen Product 175,Home & Kitchen,351.69,1.3,27,Usha,"High-quality home & kitchen product from Usha, perfect for everyday use."
176,Under Armour Sports & Outdoors Product 176,Sports & Outdoors,79.36,2.0,39,Under Armour,"High-quality sports & outdoors product from Under Armour, perfect for everyday use."
177,Kellogg's Groceries Product 177,Groceries,1173.28,2.8,24,Kellogg's,"High-quality groceries product from Kellogg's, perfect for everyday use."
178,Britannia Groceries Product 178,Groceries,1174.0,3.9,54,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
179,Garnier Beauty & Personal Care Product 179,Beauty & Personal Care,1462.95,1.7,56,Garnier,"High-quality beauty & personal care product from Garnier, perfect for everyday use."
180,Ensure Health & Wellness Product 180,Health & Wellness,238.61,2.2,32,Ensure,"High-quality health & wellness product from Ensure, perfect for everyday use."
181,Dabur Health & Wellness Product 181,Health & Wellness,319.1,3.8,13,Dabur,"High-quality health & wellness product from Dabur, perfect for everyday use."
182,Samsung Electronics Product 182,Electronics,410.65,1.2,81,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
183,Britannia Groceries Product 183,Groceries,447.05,3.2,11,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
184,L'Oreal Beauty & Personal Care Product 184,Beauty & Personal Care,619.21,1.6,88,L'Oreal,"High-quality beauty & personal care product from L'Oreal, perfect for everyday use."
185,Dabur Health & Wellness Product 185,Health & Wellness,212.12,1.8,49,Dabur,"High-quality health & wellness product from Dabur, perfect for everyday use."
186,Castrol Automotive Product 186,Automotive,1438.8,1.2,65,Castrol,"High-quality automotive product from Castrol, perfect for everyday use."
187,Mobil Automotive Product 187,Automotive,175.36,2.5,99,Mobil,"High-quality automotive product from Mobil, perfect for everyday use."
188,Goodyear Automotive Product 188,Automotive,612.9,3.0,24,Goodyear,"High-quality automotive product from Goodyear, perfect for everyday use."
189,Parle Groceries Product 189,Groceries,318.53,4.0,23,Parle,"High-quality groceries product from Parle, perfect for everyday use."
190,Horlicks Health & Wellness Product 190,Health & Wellness,493.6,4.0,28,Horlicks,"High-quality health & wellness product from Horlicks, perfect for everyday use."
191,Fisher-Price Toys & Games Product 191,Toys & Games,438.87,4.1,66,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
192,Puma Fashion Product 192,Fashion,639.71,1.2,17,Puma,"High-quality fashion product from Puma, perfect for everyday use."
193,Philips Home & Kitchen Product 193,Home & Kitchen,1219.71,3.8,70,Philips,"High-quality home & kitchen product from Philips, perfect for everyday use."
194,Nestle Groceries Product 194,Groceries,968.54,1.7,78,Nestle,"High-quality groceries product from Nestle, perfect for everyday use."
195,Bajaj Home & Kitchen Product 195,Home & Kitchen,970.58,3.6,65,Bajaj,"High-quality home & kitchen product from Bajaj, perfect for everyday use."
196,Nike Fashion Product 196,Fashion,670.7,4.3,99,Nike,"High-quality fashion product from Nike, perfect for everyday use."
197,Garnier Beauty & Personal Care Product 197,Beauty & Personal Care,498.08,4.2,20,Garnier,"High-quality beauty & personal care product from Garnier, perfect for everyday use."
198,Parle Groceries Product 198,Groceries,1443.76,1.8,70,Parle,"High-quality groceries product from Parle, perfect for everyday use."
199,Hasbro Toys & Games Product 199,Toys & Games,1267.33,3.7,60,Hasbro,"High-quality toys & games product from Hasbro, perfect for everyday use."
200,LG Electronics Product 200,Electronics,373.17,3.3,6,LG,"High-quality electronics product from LG, perfect for everyday use."
201,Mattel Toys & Games Product 201,Toys & Games,435.5,4.3,27,Mattel,"High-quality toys & games product from Mattel, perfect for everyday use."
202,Ensure Health & Wellness Product 202,Health & Wellness,1353.51,2.4,31,Ensure,"High-quality health & wellness product from Ensure, perfect for everyday use."
203,Garnier Beauty & Personal Care Product 203,Beauty & Personal Care,1350.97,4.9,1,Garnier,"High-quality beauty & personal care product from Garnier, perfect for everyday use."
204,Dell Electronics Product 204,Electronics,177.62,1.0,81,Dell,"High-quality electronics product from Dell, perfect for everyday use."
205,Prestige Home & Kitchen Product 205,Home & Kitchen,1394.53,3.1,24,Prestige,"High-quality home & kitchen product from Prestige, perfect for everyday use."
206,Levi's Fashion Product 206,Fashion,1480.6,3.8,49,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
207,Havells Home & Kitchen Product 207,Home & Kitchen,974.61,1.7,86,Havells,"High-quality home & kitchen product from Havells, perfect for everyday use."
208,Wilson Sports & Outdoors Product 208,Sports & Outdoors,411.68,2.1,98,Wilson,"High-quality sports & outdoors product from Wilson, perfect for everyday use."
209,Hachette Books Product 209,Books,485.01,3.9,68,Hachette,"High-quality books product from Hachette, perfect for everyday use."
210,Levi's Fashion Product 210,Fashion,319.87,1.9,39,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
211,Mobil Automotive Product 211,Automotive,707.28,3.2,99,Mobil,"High-quality automotive product from Mobil, perfect for everyday use."
212,LEGO Toys & Games Product 212,Toys & Games,987.49,2.8,58,LEGO,"High-quality toys & games product from LEGO, perfect for everyday use."
213,Fisher-Price Toys & Games Product 213,Toys & Games,964.83,2.4,94,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
214,Penguin Books Product 214,Books,1483.35,4.4,16,Penguin,"High-quality books product from Penguin, perfect for everyday use."
215,Macmillan Books Product 215,Books,715.38,3.9,93,Macmillan,"High-quality books product from Macmillan, perfect for everyday use."
216,Wilson Sports & Outdoors Product 216,Sports & Outdoors,229.75,2.1,1,Wilson,"High-quality sports & outdoors product from Wilson, perfect for everyday use."
217,Hachette Books Product 217,Books,1215.97,2.2,62,Hachette,"High-quality books product from Hachette, perfect for everyday use."
218,Dabur Health & Wellness Product 218,Health & Wellness,884.2,3.7,8,Dabur,"High-quality health & wellness product from Dabur, perfect for everyday use."
219,Nivea Beauty & Personal Care Product 219,Beauty & Personal Care,464.29,1.7,77,Nivea,"High-quality beauty & personal care product from Nivea, perfect for everyday use."
220,Bridgestone Automotive Product 220,Automotive,252.69,3.5,32,Bridgestone,"High-quality automotive product from Bridgestone, perfect for everyday use."
221,Yonex Sports & Outdoors Product 221,Sports & Outdoors,380.81,1.7,67,Yonex,"High-quality sports & outdoors product from Yonex, perfect for everyday use."
222,Under Armour Sports & Outdoors Product 222,Sports & Outdoors,1227.22,4.1,11,Under Armour,"High-quality sports & outdoors product from Under Armour, perfect for everyday use."
223,Nestle Groceries Product 223,Groceries,740.16,3.9,72,Nestle,"High-quality groceries product from Nestle, perfect for everyday use."
224,Puma Fashion Product 224,Fashion,365.22,1.4,97,Puma,"High-quality fashion product from Puma, perfect for everyday use."
225,Fisher-Price Toys & Games Product 225,Toys & Games,895.63,4.4,47,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
226,Patanjali Health & Wellness Product 226,Health & Wellness,803.58,4.7,28,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
227,Wilson Sports & Outdoors Product 227,Sports & Outdoors,491.45,2.2,96,Wilson,"High-quality sports & outdoors product from Wilson, perfect for everyday use."
228,Bosch Automotive Product 228,Automotive,941.31,4.1,60,Bosch,"High-quality automotive product from Bosch, perfect for everyday use."
229,HP Electronics Product 229,Electronics,1056.02,4.7,94,HP,"High-quality electronics product from HP, perfect for everyday use."
230,Levi's Fashion Product 230,Fashion,589.7,3.4,85,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
231,Apple Electronics Product 231,Electronics,1329.26,3.4,91,Apple,"High-quality electronics product from Apple, perfect for everyday use."
232,Nestle Groceries Product 232,Groceries,125.5,1.5,85,Nestle,"High-quality groceries product from Nestle, perfect for everyday use."
233,Sony Electronics Product 233,Electronics,541.21,1.4,32,Sony,"High-quality electronics product from Sony, perfect for everyday use."
234,Funko Toys & Games Product 234,Toys & Games,523.54,3.8,87,Funko,"High-quality toys & games product from Funko, perfect for everyday use."
235,Penguin Books Product 235,Books,447.27,2.0,21,Penguin,"High-quality books product from Penguin, perfect for everyday use."
236,Dabur Health & Wellness Product 236,Health & Wellness,425.39,2.7,66,Dabur,"High-quality health & wellness product from Dabur, perfect for everyday use."
237,Patanjali Health & Wellness Product 237,Health & Wellness,526.48,1.3,85,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
238,Kellogg's Groceries Product 238,Groceries,553.25,3.8,6,Kellogg's,"High-quality groceries product from Kellogg's, perfect for everyday use."
239,Prestige Home & Kitchen Product 239,Home & Kitchen,450.46,1.4,76,Prestige,"High-quality home & kitchen product from Prestige, perfect for everyday use."
240,Simon & Schuster Books Product 240,Books,832.45,3.2,9,Simon & Schuster,"High-quality books product from Simon & Schuster, perfect for everyday use."
241,Usha Home & Kitchen Product 241,Home & Kitchen,171.95,2.3,25,Usha,"High-quality home & kitchen product from Usha, perfect for everyday use."
242,Bridgestone Automotive Product 242,Automotive,1191.35,4.8,43,Bridgestone,"High-quality automotive product from Bridgestone, perfect for everyday use."
243,Funko Toys & Games Product 243,Toys & Games,1385.03,1.5,52,Funko,"High-quality toys & games product from Funko, perfect for everyday use."
244,Nike Fashion Product 244,Fashion,578.91,4.0,30,Nike,"High-quality fashion product from Nike, perfect for everyday use."
245,Dell Electronics Product 245,Electronics,955.31,4.1,0,Dell,"High-quality electronics product from Dell, perfect for everyday use."
246,Britannia Groceries Product 246,Groceries,734.8,4.9,51,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
247,Nike Fashion Product 247,Fashion,531.44,1.5,8,Nike,"High-quality fashion product from Nike, perfect for everyday use."
248,L'Oreal Beauty & Personal Care Product 248,Beauty & Personal Care,973.1,2.3,9,L'Oreal,"High-quality beauty & personal care product from L'Oreal, perfect for everyday use."
249,Sony Electronics Product 249,Electronics,8.77,2.9,58,Sony,"High-quality electronics product from Sony, perfect for everyday use."
250,Simon & Schuster Books Product 250,Books,1246.83,3.5,63,Simon & Schuster,"High-quality books product from Simon & Schuster, perfect for everyday use."
251,Goodyear Automotive Product 251,Automotive,555.64,3.2,27,Goodyear,"High-quality automotive product from Goodyear, perfect for everyday use."
252,Reebok Sports & Outdoors Product 252,Sports & Outdoors,167.98,2.4,27,Reebok,"High-quality sports & outdoors product from Reebok, perfect for everyday use."
253,Garnier Beauty & Personal Care Product 253,Beauty & Personal Care,37.3,3.4,84,Garnier,"High-quality beauty & personal care product from Garnier, perfect for everyday use."
254,Nike Fashion Product 254,Fashion,1403.6,1.1,34,Nike,"High-quality fashion product from Nike, perfect for everyday use."
255,Amul Groceries Product 255,Groceries,339.73,1.9,12,Amul,"High-quality groceries product from Amul, perfect for everyday use."
256,HP Electronics Product 256,Electronics,447.47,2.8,18,HP,"High-quality electronics product from HP, perfect for everyday use."
257,Garnier Beauty & Personal Care Product 257,Beauty & Personal Care,320.51,4.6,75,Garnier,"High-quality beauty & personal care product from Garnier, perfect for everyday use."
258,Maybelline Beauty & Personal Care Product 258,Beauty & Personal Care,1409.97,2.9,42,Maybelline,"High-quality beauty & personal care product from Maybelline, perfect for everyday use."
259,Nestle Groceries Product 259,Groceries,272.46,4.8,75,Nestle,"High-quality groceries product from Nestle, perfect for everyday use."
260,Hasbro Toys & Games Product 260,Toys & Games,1130.47,2.4,94,Hasbro,"High-quality toys & games product from Hasbro, perfect for everyday use."
261,Mobil Automotive Product 261,Automotive,710.96,3.6,36,Mobil,"High-quality automotive product from Mobil, perfect for everyday use."
262,LEGO Toys & Games Product 262,Toys & Games,241.88,4.7,82,LEGO,"High-quality toys & games product from LEGO, perfect for everyday use."
263,Nestle Groceries Product 263,Groceries,41.73,4.6,94,Nestle,"High-quality groceries product from Nestle, perfect for everyday use."
264,Bridgestone Automotive Product 264,Automotive,312.17,3.2,1,Bridgestone,"High-quality automotive product from Bridgestone, perfect for everyday use."
265,Ensure Health & Wellness Product 265,Health & Wellness,787.25,3.9,43,Ensure,"High-quality health & wellness product from Ensure, perfect for everyday use."
266,Yonex Sports & Outdoors Product 266,Sports & Outdoors,1425.59,4.9,74,Yonex,"High-quality sports & outdoors product from Yonex, perfect for everyday use."
267,Spalding Sports & Outdoors Product 267,Sports & Outdoors,26.11,3.7,13,Spalding,"High-quality sports & outdoors product from Spalding, perfect for everyday use."
268,LG Electronics Product 268,Electronics,1287.15,3.8,97,LG,"High-quality electronics product from LG, perfect for everyday use."
269,Patanjali Health & Wellness Product 269,Health & Wellness,1100.15,3.8,66,Patanjali,"High-quality health & wellness product from Patanjali, perfect for everyday use."
270,Castrol Automotive Product 270,Automotive,804.4,3.0,74,Castrol,"High-quality automotive product from Castrol, perfect for everyday use."
271,Ensure Health & Wellness Product 271,Health & Wellness,405.31,4.4,6,Ensure,"High-quality health & wellness product from Ensure, perfect for everyday use."
272,Nivea Beauty & Personal Care Product 272,Beauty & Personal Care,224.0,1.1,74,Nivea,"High-quality beauty & personal care product from Nivea, perfect for everyday use."
273,Bridgestone Automotive Product 273,Automotive,1033.33,4.1,27,Bridgestone,"High-quality automotive product from Bridgestone, perfect for everyday use."
274,Samsung Electronics Product 274,Electronics,421.96,4.6,42,Samsung,"High-quality electronics product from Samsung, perfect for everyday use."
275,Dell Electronics Product 275,Electronics,1306.38,3.6,3,Dell,"High-quality electronics product from Dell, perfect for everyday use."
276,Havells Home & Kitchen Product 276,Home & Kitchen,1098.76,4.6,78,Havells,"High-quality home & kitchen product from Havells, perfect for everyday use."
277,Britannia Groceries Product 277,Groceries,612.25,4.8,35,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
278,Zara Fashion Product 278,Fashion,1053.1,3.5,75,Zara,"High-quality fashion product from Zara, perfect for everyday use."
279,Amul Groceries Product 279,Groceries,900.37,2.9,41,Amul,"High-quality groceries product from Amul, perfect for everyday use."
280,Hasbro Toys & Games Product 280,Toys & Games,813.46,2.7,17,Hasbro,"High-quality toys & games product from Hasbro, perfect for everyday use."
281,Parle Groceries Product 281,Groceries,689.63,4.5,97,Parle,"High-quality groceries product from Parle, perfect for everyday use."
282,Britannia Groceries Product 282,Groceries,425.23,1.5,93,Britannia,"High-quality groceries product from Britannia, perfect for everyday use."
283,Goodyear Automotive Product 283,Automotive,58.22,3.1,87,Goodyear,"High-quality automotive product from Goodyear, perfect for everyday use."
284,Goodyear Automotive Product 284,Automotive,1382.5,4.1,93,Goodyear,"High-quality automotive product from Goodyear, perfect for everyday use."
285,Fisher-Price Toys & Games Product 285,Toys & Games,1158.19,1.9,71,Fisher-Price,"High-quality toys & games product from Fisher-Price, perfect for everyday use."
286,Under Armour Sports & Outdoors Product 286,Sports & Outdoors,1428.62,1.1,75,Under Armour,"High-quality sports & outdoors product from Under Armour, perfect for everyday use."
287,Dell Electronics Product 287,Electronics,745.14,1.1,14,Dell,"High-quality electronics product from Dell, perfect for everyday use."
288,Penguin Books Product 288,Books,677.61,4.5,37,Penguin,"High-quality books product from Penguin, perfect for everyday use."
289,Funko Toys & Games Product 289,Toys & Games,1060.64,4.8,90,Funko,"High-quality toys & games product from Funko, perfect for everyday use."
290,Adidas Fashion Product 290,Fashion,947.81,3.5,83,Adidas,"High-quality fashion product from Adidas, perfect for everyday use."
291,Nivea Beauty & Personal Care Product 291,Beauty & Personal Care,1327.94,5.0,99,Nivea,"High-quality beauty & personal care product from Nivea, perfect for everyday use."
292,Adidas Fashion Product 292,Fashion,1418.38,1.1,98,Adidas,"High-quality fashion product from Adidas, perfect for everyday use."
293,Parle Groceries Product 293,Groceries,776.4,3.6,23,Parle,"High-quality groceries product from Parle, perfect for everyday use."
294,Spalding Sports & Outdoors Product 294,Sports & Outdoors,654.28,1.6,46,Spalding,"High-quality sports & outdoors product from Spalding, perfect for everyday use."
295,Levi's Fashion Product 295,Fashion,53.12,2.4,8,Levi's,"High-quality fashion product from Levi's, perfect for everyday use."
296,Bridgestone Automotive Product 296,Automotive,1405.98,1.1,45,Bridgestone,"High-quality automotive product from Bridgestone, perfect for everyday use."
297,Zara Fashion Product 297,Fashion,695.95,3.5,73,Zara,"High-quality fashion product from Zara, perfect for everyday use."
298,Zara Fashion Product 298,Fashion,664.65,3.3,98,Zara,"High-quality fashion product from Zara, perfect for everyday use."
299,Zara Fashion Product 299,Fashion,380.7,3.3,77,Zara,"High-quality fashion product from Zara, perfect for everyday use."
300,Nivea Beauty & Personal Care Product 300,Beauty & Personal Care,1234.65,3.9,66,Nivea,"High-quality beauty & personal care product from Nivea, perfect for everyday use."
